Date,US DXY Index
#NAME?,94.25
1/3/1990,94.45
1/4/1990,92.54
1/5/1990,93.06
1/8/1990,92.05
1/9/1990,92.36
1/10/1990,92.5
1/11/1990,92.44
1/12/1990,92.56
1/15/1990,92.95
1/16/1990,92.87
1/17/1990,92.77
1/18/1990,93.78
1/19/1990,93.76
1/22/1990,94.36
1/23/1990,93.05
1/24/1990,92.87
1/25/1990,92.57
1/26/1990,92.53
1/29/1990,91.99
1/30/1990,92.91
1/31/1990,92.55
2/1/1990,92.18
2/2/1990,92.44
2/5/1990,91.49
2/6/1990,91.45
2/7/1990,91.68
2/8/1990,91.92
2/9/1990,91.94
2/12/1990,92.11
2/13/1990,92.21
2/14/1990,92.25
2/15/1990,92.89
2/16/1990,92.07
2/20/1990,91.78
2/21/1990,91.88
2/22/1990,91.84
2/23/1990,92.2
2/26/1990,92.71
2/27/1990,92.83
2/28/1990,93.39
3/1/1990,93.96
3/2/1990,94.15
3/5/1990,93.36
3/6/1990,93.59
3/7/1990,93.37
3/8/1990,93.62
3/9/1990,93.89
3/12/1990,94.43
3/13/1990,94.28
3/14/1990,94.2
3/15/1990,93.74
3/16/1990,93.82
3/19/1990,93.49
3/20/1990,94.3
3/21/1990,94.57
3/22/1990,94.19
3/23/1990,94.39
3/26/1990,94.36
3/27/1990,94.55
3/28/1990,94.47
3/29/1990,93.58
3/30/1990,93.77
4/2/1990,94.1
4/3/1990,93.99
4/4/1990,94.01
4/5/1990,93.85
4/6/1990,93.7
4/9/1990,93.64
4/10/1990,92.97
4/11/1990,92.87
4/12/1990,92.91
4/16/1990,93.35
4/17/1990,93.31
4/18/1990,92.94
4/19/1990,93.08
4/20/1990,93.39
4/23/1990,93.8
4/24/1990,93.83
4/25/1990,93.08
4/26/1990,93.17
4/27/1990,93.08
4/30/1990,93.08
5/1/1990,93.14
5/2/1990,93.21
5/3/1990,93.16
5/4/1990,92.43
5/7/1990,92.04
5/8/1990,92.01
5/9/1990,91.16
5/10/1990,91.03
5/11/1990,91.06
5/14/1990,91.11
5/15/1990,91.15
5/16/1990,91.24
5/17/1990,91.25
5/18/1990,91.38
5/21/1990,91.94
5/22/1990,91.97
5/23/1990,92.07
5/24/1990,92.41
5/25/1990,92.17
5/29/1990,91.98
5/30/1990,92.33
5/31/1990,92.93
6/1/1990,92.99
6/4/1990,92.68
6/5/1990,92.59
6/6/1990,92.61
6/7/1990,92.8
6/8/1990,93.08
6/11/1990,92.93
6/12/1990,92.94
6/13/1990,92.54
6/14/1990,92.73
6/15/1990,92.59
6/18/1990,92.02
6/19/1990,91.91
6/20/1990,92.06
6/21/1990,92.11
6/22/1990,91.97
6/25/1990,92.1
6/26/1990,91.46
6/27/1990,91.53
6/28/1990,91.68
6/29/1990,91.15
7/2/1990,90.51
7/3/1990,90.43
7/5/1990,90.41
7/6/1990,90.5
7/9/1990,90.27
7/10/1990,89.58
7/11/1990,90.18
7/12/1990,89.38
7/13/1990,90.06
7/16/1990,90.19
7/17/1990,89.69
7/18/1990,89.84
7/19/1990,89.66
7/20/1990,89.54
7/23/1990,88.93
7/24/1990,88.99
7/25/1990,89.15
7/26/1990,89.14
7/27/1990,88.44
7/30/1990,88.13
7/31/1990,87.2
8/1/1990,87.42
8/2/1990,87.73
8/3/1990,87.54
8/6/1990,87.12
8/7/1990,87.52
8/8/1990,87.59
8/9/1990,87.69
8/10/1990,87.59
8/13/1990,87.01
8/14/1990,86.37
8/15/1990,86.3
8/16/1990,85.87
8/17/1990,85.62
8/20/1990,86.18
8/21/1990,86.17
8/22/1990,85.97
8/23/1990,85.12
8/24/1990,85.66
8/27/1990,85.3
8/28/1990,85.4
8/29/1990,85.57
8/30/1990,85.92
8/31/1990,86.58
