date,value
1993-06-22,"10,527"
1993-06-29,"10,536"
1993-07-06,"10,568"
1993-07-13,"10,590"
1993-07-20,"10,531"
1993-07-27,"10,789"
1993-08-03,"10,536"
1993-08-11,"10,622"
1993-08-17,"10,489"
1993-08-24,"10,717"
1993-08-31,"10,705"
1993-09-07,"10,730"
1993-09-14,"10,827"
1993-09-22,"10,736"
1993-10-05,"10,672"
1993-10-12,"10,699"
1993-10-19,"10,762"
1993-10-26,"10,759"
1993-11-02,"10,762"
1993-11-09,"10,803"
1993-11-16,"10,805"
1993-11-23,"10,876"
1993-11-29,"10,837"
1993-12-13,"10,860"
1993-12-20,"10,824"
1993-12-27,"10,835"
1994-01-10,"10,789"
1994-01-17,"10,826"
1994-01-24,"10,845"
1994-01-31,"10,839"
1994-02-07,"10,903"
1994-02-14,"10,813"
1994-02-22,"10,861"
1994-02-28,"10,817"
1994-03-07,"10,858"
1994-03-14,"10,800"
1994-03-21,"10,918"
1994-03-22,"10,943"
1994-03-28,"10,901"
1994-03-29,"10,943"
1994-04-05,"10,927"
1994-04-11,"10,962"
1994-04-12,"10,940"
1994-04-18,"10,938"
1994-04-19,"10,930"
1994-04-25,"10,969"
1994-04-26,"10,930"
1994-05-03,"10,940"
1994-05-09,"10,956"
1994-05-10,"10,945"
1994-05-16,"10,945"
1994-05-23,"10,986"
1994-05-24,"10,950"
1994-05-31,"10,950"
1994-06-02,"10,962"
1994-06-06,"10,974"
1994-06-07,"10,950"
1994-06-13,"10,955"
1994-06-20,"10,959"
1994-06-21,"10,931"
1994-06-22,"10,931"
1994-06-27,"10,970"
1994-07-05,"10,970"
1994-07-11,"10,995"
1994-07-18,"10,970"
1994-07-25,"10,963"
1994-07-26,"10,965"
1994-08-01,"10,905"
1994-08-03,"10,970"
1994-08-08,"10,970"
1994-08-15,"10,970"
1994-08-22,"10,986"
1994-08-23,"10,975"
1994-08-29,"11,077"
1994-09-06,"10,975"
1994-09-13,"10,973"
1994-09-19,"10,864"
1994-09-20,"10,973"
1994-09-26,"10,978"
1994-10-04,"10,982"
1994-10-11,"10,982"
1994-10-18,"10,982"
1994-10-25,"10,989"
1994-10-31,"10,989"
1994-11-08,"11,000"
1994-11-15,"11,010"
1994-11-23,"11,020"
1994-11-29,"11,020"
1994-12-06,"11,025"
1994-12-13,"11,025"
1994-12-20,"11,032"
1994-12-28,"11,032"
1995-01-03,"11,032"
1995-01-10,"10,990"
1995-01-17,"10,990"
1995-01-20,"11,037"
1995-02-01,"10,990"
1995-02-06,"10,990"
1995-02-13,"10,990"
1995-02-22,"11,000"
1995-02-28,"11,000"
1995-03-06,"11,000"
1995-03-14,"11,000"
1995-03-21,"11,000"
1995-03-27,"11,000"
1995-04-03,"11,000"
1995-04-11,"11,000"
1995-04-18,"11,000"
1995-04-25,"11,000"
1995-05-02,"11,000"
1995-05-08,"11,000"
1995-05-17,"11,005"
1995-05-22,"11,005"
1995-05-31,"11,005"
1995-06-05,"11,005"
1995-06-20,"11,005"
1995-06-27,"11,005"
1995-07-03,"11,005"
1995-07-11,"11,005"
1995-07-17,"11,005"
1995-07-24,"11,005"
1995-08-01,"11,005"
1995-08-07,"11,005"
1995-08-18,"11,032"
1995-08-25,"11,031"
1995-09-01,"11,018"
1995-09-08,"11,032"
1995-09-15,"11,018"
1995-09-22,"11,024"
1995-09-26,"11,025"
1995-10-03,"11,014"
1995-10-10,"11,010"
1995-10-17,"10,995"
1995-10-24,"10,990"
1995-10-31,"10,990"
1995-11-06,"10,995"
1995-11-13,"11,010"
1995-11-20,"11,000"
1995-11-27,"11,000"
1995-12-04,"11,014"
1995-12-12,"11,003"
1995-12-18,"11,014"
1995-12-19,"11,003"
1995-12-26,"11,003"
1996-01-02,"11,003"
1996-01-09,"11,003"
1996-01-10,"11,012"
1996-01-15,"10,995"
1996-01-16,"11,003"
1996-01-22,"10,995"
1996-01-29,"10,993"
1996-01-30,"11,005"
1996-02-05,"10,993"
1996-02-06,"11,005"
1996-02-12,"11,013"
1996-02-13,"11,005"
1996-02-20,"11,005"
1996-02-26,"11,013"
1996-02-27,"11,005"
1996-03-04,"11,013"
1996-03-05,"11,005"
1996-03-11,"11,015"
1996-03-12,"11,005"
1996-03-18,"11,016"
1996-03-19,"11,005"
1996-03-25,"11,016"
1996-03-26,"11,005"
1996-04-01,"11,010"
1996-04-02,"11,013"
1996-04-10,"11,005"
1996-04-16,"10,970"
1996-04-23,"11,005"
1996-04-29,"11,013"
1996-04-30,"10,970"
1996-05-06,"10,970"
1996-05-07,"11,013"
1996-05-13,"10,970"
1996-05-14,"11,013"
1996-05-20,"11,013"
1996-05-28,"10,960"
1996-05-29,"11,012"
1996-06-03,"10,960"
1996-06-04,"11,012"
1996-06-11,"11,012"
1996-06-18,"10,960"
1996-06-19,"11,010"
1996-06-20,"11,010"
1996-06-21,"11,010"
1996-06-24,"10,960"
1996-06-25,"11,014"
1996-06-26,"11,010"
1996-06-27,"11,010"
1996-06-28,"11,010"
1996-07-01,"11,010"
1996-07-02,"11,014"
1996-07-03,"11,010"
1996-07-09,"10,960"
1996-07-15,"10,960"
1996-07-17,"11,014"
1996-07-22,"10,960"
1996-07-23,"11,014"
1996-07-29,"10,970"
1996-08-06,"11,020"
1996-08-13,"11,017"
1996-08-19,"10,970"
1996-08-20,"11,017"
1996-08-21,"11,000"
1996-08-22,"11,000"
1996-08-23,"11,000"
1996-08-26,"11,000"
1996-08-27,"11,017"
1996-08-28,"11,000"
1996-08-29,"11,000"
1996-08-30,"11,000"
1996-09-02,"11,000"
1996-09-03,"11,017"
1996-09-04,"11,000"
1996-09-05,"11,000"
1996-09-06,"11,000"
1996-09-09,"11,000"
1996-09-10,"11,020"
1996-09-11,"11,000"
1996-09-12,"11,000"
1996-09-13,"11,000"
1996-09-16,"10,980"
1996-09-17,"11,018"
1996-09-24,"11,023"
1996-10-01,"11,028"
1996-10-07,"11,005"
1996-10-08,"11,039"
1996-10-14,"11,015"
1996-10-16,"11,000"
1996-10-21,"11,080"
1996-10-24,"11,067"
1996-10-29,"11,064"
1996-10-30,"11,020"
1996-11-04,"11,030"
1996-11-12,"11,070"
1996-11-19,"11,077"
1996-11-26,"11,079"
1996-11-27,"11,042"
1996-12-02,"11,045"
1996-12-03,"11,095"
1996-12-10,"11,121"
1996-12-11,"11,065"
1996-12-16,"11,080"
1996-12-18,"11,141"
1996-12-23,"11,085"
1996-12-26,"11,144"
1996-12-30,"11,148"
1997-01-06,"11,080"
1997-01-07,"11,160"
1997-01-14,"11,168"
1997-01-22,"11,183"
1997-01-27,"11,179"
1997-02-04,"11,183"
1997-02-11,"11,179"
1997-02-17,"11,192"
1997-02-18,"11,175"
1997-02-19,"11,188"
1997-02-25,"11,194"
1997-02-27,"11,188"
1997-03-03,"11,205"
1997-03-04,"11,205"
1997-03-10,"11,205"
1997-03-12,"11,205"
1997-03-13,"11,192"
1997-03-14,"11,192"
1997-03-18,"11,200"
1997-03-19,"11,646"
1997-03-24,"11,192"
1997-03-31,"11,650"
1997-04-01,"11,645"
1997-04-02,"11,635"
1997-04-08,"11,647"
1997-04-14,"11,645"
1997-04-16,"11,635"
1997-04-21,"11,653"
1997-04-22,"11,656"
1997-04-29,"11,656"
1997-05-06,"11,656"
1997-05-16,"11,645"
1997-05-19,"11,652"
1997-05-20,"11,660"
1997-05-21,"11,650"
1997-05-22,"11,657"
1997-05-27,"11,654"
1997-05-28,"11,650"
1997-06-02,"11,660"
1997-06-04,"11,659"
1997-06-09,"11,660"
1997-06-10,"11,660"
1997-06-11,"11,664"
1997-06-16,"11,658"
1997-06-18,"11,664"
1997-06-25,"11,662"
1997-07-01,"11,663"
1997-07-07,"11,663"
1997-07-09,"11,663"
1997-07-15,"11,673"
1997-07-21,"11,672"
1997-07-23,"11,675"
1997-07-28,"11,678"
1997-07-29,"11,682"
1997-08-06,"11,682"
1997-08-12,"11,686"
1997-08-21,"11,682"
1997-08-26,"11,682"
1997-08-28,"11,693"
1997-09-02,"11,693"
1997-09-08,"11,697"
1997-09-16,"11,701"
1997-10-07,"11,724"
1997-10-14,"11,732"
1997-10-22,"11,820"
1997-11-04,"12,205"
1997-11-12,"12,297"
1997-11-18,"12,185"
1997-11-26,"12,260"
1997-12-17,"12,292"
1998-01-07,"12,292"
1998-01-27,"12,291"
1998-01-29,"12,288"
1998-02-02,"12,291"
1998-02-05,"12,291"
1998-02-09,"12,288"
1998-02-10,"12,291"
1998-02-11,"12,291"
1998-02-12,"12,291"
1998-02-13,"12,291"
1998-02-16,"12,291"
1998-02-17,"12,612"
1998-02-18,"12,978"
1998-02-19,"12,978"
1998-02-20,"12,978"
1998-02-23,"12,980"
1998-02-24,"12,978"
1998-02-25,"12,979"
1998-02-26,"12,977"
1998-02-27,"12,975"
1998-03-02,"12,973"
1998-03-03,"12,978"
1998-03-04,"12,974"
1998-03-05,"12,973"
1998-03-06,"12,973"
1998-03-09,"12,979"
1998-03-10,"12,979"
1998-03-11,"12,981"
1998-03-12,"12,981"
1998-03-13,"12,980"
1998-03-16,"12,981"
1998-03-17,"12,978"
1998-03-18,"12,977"
1998-03-19,"12,980"
1998-03-20,"12,978"
1998-03-23,"12,979"
1998-03-24,"12,977"
1998-03-25,"12,978"
1998-03-26,"12,982"
1998-03-27,"12,983"
1998-03-30,"12,981"
1998-03-31,"12,979"
1998-04-01,"12,981"
1998-04-02,"12,981"
1998-04-03,"12,979"
1998-04-06,"12,983"
1998-04-07,"12,979"
1998-04-08,"12,981"
1998-04-09,"12,983"
1998-04-10,"12,986"
1998-04-13,"12,988"
1998-04-14,"12,985"
1998-04-15,"12,988"
1998-04-16,"12,988"
1998-04-17,"12,986"
1998-04-20,"12,986"
1998-04-21,"12,989"
1998-04-22,"12,984"
1998-04-23,"12,984"
1998-04-24,"12,982"
1998-04-27,"12,982"
1998-04-28,"12,985"
1998-04-29,"12,985"
1998-04-30,"12,985"
1998-05-01,"12,985"
1998-05-04,"12,985"
1998-05-05,"12,985"
1998-05-06,"12,985"
1998-05-07,"12,985"
1998-05-08,"12,985"
1998-05-11,"12,981"
1998-05-12,"12,981"
1998-05-13,"12,981"
1998-05-14,"12,984"
1998-05-15,"12,986"
1998-05-18,"12,982"
1998-05-19,"12,982"
1998-05-20,"12,982"
1998-05-21,"12,981"
1998-05-22,"12,981"
1998-05-26,"12,981"
1998-05-27,"12,981"
1998-05-28,"12,981"
1998-05-29,"12,980"
1998-06-01,"12,983"
1998-06-02,"12,983"
1998-06-03,"12,983"
1998-06-04,"12,985"
1998-06-05,"12,986"
1998-06-08,"12,986"
1998-06-09,"12,986"
1998-06-10,"12,985"
1998-06-11,"12,985"
1998-06-12,"12,983"
1998-06-15,"12,985"
1998-06-16,"12,985"
1998-06-17,"12,985"
1998-06-18,"12,987"
1998-06-19,"12,987"
1998-06-22,"12,984"
1998-06-23,"12,985"
1998-06-24,"12,983"
1998-06-25,"12,985"
1998-06-26,"12,983"
1998-06-29,"12,984"
1998-06-30,"12,982"
1998-07-01,"12,985"
1998-07-02,"12,982"
1998-07-03,"12,986"
1998-07-06,"12,983"
1998-07-07,"12,981"
1998-07-08,"12,984"
1998-07-09,"12,985"
1998-07-10,"12,984"
1998-07-13,"12,986"
1998-07-14,"12,987"
1998-07-15,"12,985"
1998-07-16,"12,984"
1998-07-17,"12,989"
1998-07-20,"12,989"
1998-07-21,"12,990"
1998-07-22,"12,986"
1998-07-23,"12,990"
1998-07-24,"12,992"
1998-07-27,"12,992"
1998-07-28,"12,992"
1998-07-30,"12,992"
1998-07-31,"12,988"
1998-08-03,"12,990"
1998-08-04,"12,994"
1998-08-05,"12,994"
1998-08-06,"12,995"
1998-08-07,"12,995"
1998-08-10,"13,649"
1998-08-11,"13,902"
1998-08-12,"13,879"
1998-08-13,"13,894"
1998-08-14,"13,906"
1998-08-17,"13,907"
1998-08-18,"13,907"
1998-08-19,"13,906"
1998-08-20,"13,906"
1998-08-21,"13,907"
1998-08-24,"13,907"
1998-08-25,"13,907"
1998-08-26,"13,907"
1998-08-27,"13,907"
1998-08-28,"13,908"
1998-08-31,"13,908"
1998-09-01,"13,908"
1998-09-02,"13,908"
1998-09-03,"13,908"
1998-09-04,"13,908"
1998-09-07,"13,908"
1998-09-08,"13,908"
1998-09-09,"13,908"
1998-09-10,"13,908"
1998-09-11,"13,908"
1998-09-14,"13,908"
1998-09-15,"13,908"
1998-09-16,"13,906"
1998-09-17,"13,906"
1998-09-18,"13,908"
1998-09-21,"13,908"
1998-09-22,"13,908"
1998-09-23,"13,907"
1998-09-24,"13,907"
1998-09-25,"13,907"
1998-09-28,"13,904"
1998-09-29,"13,904"
1998-09-30,"13,904"
1998-10-01,"13,904"
1998-10-02,"13,904"
1998-10-05,"13,904"
1998-10-06,"13,904"
1998-10-07,"13,904"
1998-10-08,"13,904"
1998-10-09,"13,904"
1998-10-12,"13,904"
1998-10-13,"13,904"
1998-10-14,"13,904"
1998-10-15,"13,904"
1998-10-16,"13,904"
1998-10-19,"13,904"
1998-10-20,"13,904"
1998-10-21,"13,904"
1998-10-22,"13,904"
1998-10-23,"13,904"
1998-10-26,"13,904"
1998-10-27,"13,906"
1998-10-28,"13,904"
1998-10-29,"13,904"
1998-10-30,"13,904"
