Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
Jul 21 2025,26140.0,26157.0,26130.0,26140.0,26140.0,-
Jul 18 2025,26135.0,26166.0,26135.0,26135.0,26135.0,-
Jul 17 2025,26140.0,26160.0,26120.0,26140.0,26140.0,-
Jul 16 2025,26120.0,26165.0,26120.0,26120.0,26120.0,-
Jul 15 2025,26100.0,26142.0,26095.0,26100.0,26100.0,-
Jul 14 2025,26108.0,26125.0,26080.0,26108.0,26108.0,-
Jul 11 2025,26100.0,26120.0,26047.0,26100.0,26100.0,-
Jul 10 2025,26138.0,26138.0,26094.0,26138.0,26138.0,-
Jul 9 2025,26110.0,26149.0,26100.0,26110.0,26110.0,-
Jul 8 2025,26120.0,26145.0,26090.0,26120.0,26120.0,-
Jul 7 2025,26158.0,26166.0,26084.0,26158.0,26158.0,-
Jul 4 2025,26175.0,26230.0,26150.0,26175.0,26175.0,-
Jul 3 2025,26150.0,26229.0,26150.0,26150.0,26150.0,-
Jul 2 2025,26110.0,26168.0,26090.0,26110.0,26110.0,-
Jul 1 2025,26118.0,26145.0,26060.0,26118.0,26118.0,-
Jun 30 2025,26090.0,26125.0,26048.0,26090.0,26090.0,-
Jun 27 2025,26100.0,26135.0,26065.0,26100.0,26100.0,-
Jun 26 2025,26150.0,26150.0,26090.0,26150.0,26150.0,-
Jun 25 2025,26150.0,26170.0,26120.0,26150.0,26150.0,-
Jun 24 2025,26190.0,26190.0,26121.0,26190.0,26190.0,-
Jun 23 2025,26119.0,26205.0,26119.0,26119.0,26119.0,-
Jun 20 2025,26123.0,26140.0,26108.0,26123.0,26123.0,-
Jun 19 2025,26092.0,26131.0,26080.0,26092.0,26092.0,-
Jun 18 2025,26072.0,26100.0,26065.0,26072.0,26072.0,-
Jun 17 2025,26030.0,26086.0,26030.0,26030.0,26030.0,-
Jun 16 2025,26050.0,26095.0,26026.0,26050.0,26050.0,-
Jun 13 2025,26020.0,26076.0,26020.0,26020.0,26020.0,-
Jun 12 2025,26010.0,26030.0,26000.0,26010.0,26010.0,-
Jun 11 2025,25990.0,26025.0,25990.0,25990.0,25990.0,-
Jun 10 2025,26025.0,26041.0,25990.0,26025.0,26025.0,-
Jun 9 2025,26047.0,26091.0,26015.0,26047.0,26047.0,-
